"公園番号","公園名","住所","管内","No","開設","改修","種別","面積","構造","兼用個室","兼用和式","兼用手洗い","男子小便器","男子個室","男子洋式","男子和式","男子手洗い","女子個室","女子洋式","女子和式","女子手洗い","誰でも個室","誰でも手洗い","オストメイト","ベビーチェア","ベビーベッド","男子小便器(1)","幼児用小便器","経度","緯度","分類"
"172","浜田山一丁目公園","東京都杉並区浜田山1-25-24","南","A-122","H2.2.1","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.630412472052","35.6794584813582","公園・公衆トイレ"
"173","はら公園","東京都杉並区成田西1-16- 4","南","A-123","H2.2.14","","公園","5.04","ﾌﾞﾛｯｸ","1","1","","1","","","","","","","","","","","","","","","","139.632669121983","35.6857626679735","公園・公衆トイレ"
"174","久我山中央緑地","東京都杉並区久我山3-25-21","南","A-124","H2.3.8","","公園","5.43","FRP","1","1","1","1","","","","","","","","","","","","","","","","139.598611955069","35.6877971749759","公園・公衆トイレ"
"175","さざんか公園","東京都杉並区久我山4-30-19","南","A-125","H2.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.591104527543","35.694065578205","公園・公衆トイレ"
"176","今川二丁目公園","東京都杉並区今川2-12- 7","北","A-126","H2.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.610229712952","35.7162976542841","公園・公衆トイレ"
"180","西荻北中央公園","東京都杉並区西荻北3-25- 3","北","A-127","H3.3.31","","公園","2.52","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.597037260586","35.7055807182145","公園・公衆トイレ"
"181","道灌橋公園","東京都杉並区上井草3-14-23","北","A-128","H3.3.31","","公園","6","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.601877022091","35.7204865810338","公園・公衆トイレ"
"182","高円寺いこい公園","東京都杉並区高円寺南5-13-23","北","A-129","H3.3.31","","公園","1.65","鉄筋","1","1","1","","","","","","","","","","","","","","","","","139.660070976798","35.7026149922187","公園・公衆トイレ"
"185","永福中央公園","東京都杉並区永福2- 1-12","南","A-130","H4.3.31","","公園","11.32","鉄筋","1","1","1","1","","","","","","","","","","","","","","","","139.641283507332","35.6711546313647","公園・公衆トイレ"
"187","神戸町あけぼの公園","東京都杉並区下井草5- 8-24","北","A-131","H4.3.31","","公園","5.55","鉄骨","1","1","1","1","","","","","","","","","","","","","","","","139.616319592008","35.7204662767468","公園・公衆トイレ"
